rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
1,MED:22418568,22418568,PMC3336833,10.1634/theoncologist.2012-0007,direct,unclear,moderate,,true,Agreement in risk prediction between the 21-gene recurrence score assay (Oncotype DX®) and the PAM50 breast cancer intrinsic Classifier™ in early-stage estrogen receptor-positive breast cancer.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
2,MED:31159741,31159741,PMC6547580,10.1186/s12864-019-5849-0,direct,include,high,,true,Breast cancer PAM50 signature: correlation and concordance between RNA-Seq and digital multiplexed gene expression technologies in a triple negative breast cancer series.,"The title directly joins the locked classifier domain to a reliability, assay, preprocessing, uncertainty, or transport method.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
3,MED:22752290,22752290,PMC3413822,10.1007/s10549-012-2143-0,direct,unclear,moderate,,true,PAM50 assay and the three-gene model for identifying the major and clinically relevant molecular subtypes of breast cancer.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
4,MED:30189722,30189722,PMC6473265,10.4143/crt.2018.342,direct,include,high,,true,Discordance of the PAM50 Intrinsic Subtypes Compared with Immunohistochemistry-Based Surrogate in Breast Cancer Patients: Potential Implication of Genomic Alterations of Discordance.,"The title directly joins the locked classifier domain to a reliability, assay, preprocessing, uncertainty, or transport method.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
5,MED:23035882,23035882,PMC3487945,10.1186/1755-8794-5-44,direct,include,high,,true,PAM50 breast cancer subtyping by RT-qPCR and concordance with standard clinical molecular markers.,"The title directly joins the locked classifier domain to a reliability, assay, preprocessing, uncertainty, or transport method.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
6,MED:40714511,40714511,PMC12314373,10.1016/j.esmoop.2025.105521,direct,unclear,moderate,,true,Impact of the Prosigna assay on neoadjuvant treatment decision-making in patients with early-stage HR-positive/HER2-negative breast cancer: a single-center prospective observational study.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
7,MED:41584881,41584881,,10.1159/000549807,direct,unclear,moderate,,true,Comparison of Prosigna® Assay and Urokinase Plasminogen Activator/Plasminogen Activator Inhibitor-1 Results in Early-Stage Breast Cancer Patients.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
8,MED:39177880,39177880,PMC11511699,10.1007/s10147-024-02604-1,direct,unclear,moderate,,true,"Predicting invasive disease-free survival in ER-positive, HER2-negative early breast cancer using the PAM50 risk-of-recurrence score: a retrospective analysis using single-center long-term follow-up data of postmenopausal Japanese patients.","The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
9,PPR:PPR806024,,,10.21203/rs.3.rs-3878376/v1,direct,unclear,moderate,,true,"Predicting invasive disease-free survival in ER-positive, HER2-negative early breast cancer using the PAM50 risk-of-recurrence score: a retrospective analysis using single-center long-term follow-up data of Japanese patients with breast cancer","The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
10,MED:36867282,36867282,PMC10147771,10.1007/s10549-023-06886-3,direct,include,high,,true,Discordance between PAM50 intrinsic subtyping and immunohistochemistry in South African women with breast cancer.,"The title directly joins the locked classifier domain to a reliability, assay, preprocessing, uncertainty, or transport method.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
11,MED:37761848,37761848,PMC10530528,10.3390/genes14091708,direct,unclear,moderate,,true,The Prediction Analysis of Microarray 50 (PAM50) Gene Expression Classifier Utilized in Indeterminate-Risk Breast Cancer Patients in Hungary: A Consecutive 5-Year Experience.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
12,MED:35955851,35955851,PMC9368794,10.3390/ijms23158716,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Molecular Subtyping of Invasive Breast Cancer Using a PAM50-Based Multigene Expression Test-Comparison with Molecular-Like Subtyping by Tumor Grade/Immunohistochemistry and Influence on Oncologist's Decision on Systemic Therapy in a Real-World Setting.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
13,MED:31754050,31754050,PMC6942634,10.1158/1078-0432.ccr-19-1467,direct,include,high,,true,"Purity Independent Subtyping of Tumors (PurIST), A Clinically Robust, Single-sample Classifier for Tumor Subtyping in Pancreatic Cancer.","The title directly joins the locked classifier domain to a reliability, assay, preprocessing, uncertainty, or transport method.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
14,MED:30053900,30053900,PMC6062869,10.1186/s13058-018-1012-0,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,The Prosigna gene expression assay and responsiveness to adjuvant cyclophosphamide-based chemotherapy in premenopausal high-risk patients with breast cancer.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
15,MED:25851308,25851308,,10.1185/03007995.2015.1037730,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Prospective study of the impact of the Prosigna assay on adjuvant clinical decision-making in unselected patients with estrogen receptor positive, human epidermal growth factor receptor negative, node negative early-stage breast cancer.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|strong_method_in_record,false
16,MED:26693050,26693050,PMC4656721,,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Breast cancer intrinsic subtype classification, clinical use and future trends.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
17,MED:24521995,24521995,PMC4011983,10.1158/1055-9965.epi-13-1023,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Intrinsic subtypes from PAM50 gene expression assay in a population-based breast cancer cohort: differences by age, race, and tumor characteristics.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
18,MED:24521998,24521998,PMC4105204,10.1158/1055-9965.epi-13-1017,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Intrinsic subtypes from the PAM50 gene expression assay in a population-based breast cancer survivor cohort: prognostication of short- and long-term outcomes.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
19,MED:37773555,37773555,PMC10771357,10.1007/s10549-023-07094-9,direct,unclear,moderate,,true,Correlation between breast cancer subtypes determined by immunohistochemistry and n-COUNTER PAM50 assay: a real-world study.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
20,MED:39274541,39274541,PMC11396381,10.3390/jcm13175328,direct,unclear,moderate,,true,Prosigna Assay for Treatment Decisions in Early Breast Cancer: A Decision Impact Study.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
21,MED:37260772,37260772,PMC10228735,10.3389/fgene.2023.1034569,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,LINC00426 is a potential immune phenotype-related biomarker and an overall survival predictor in PAM50 luminal B breast cancer.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
22,MED:37481795,37481795,PMC10392598,10.1016/j.breast.2023.07.009,direct,unclear,moderate,,true,Analysis of the association of HER-2 low carcinomas and PAM50 assay in hormone receptor positive early-stage breast cancer.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method,false
23,MED:26934123,26934123,PMC5008315,10.18632/oncotarget.7774,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Gene modules associated with breast cancer distant metastasis-free survival in the PAM50 molecular subtypes.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
24,MED:26971372,26971372,,10.1185/03007995.2016.1166102,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,"The West German Study Group Breast Cancer Intrinsic Subtype study: a prospective multicenter decision impact study utilizing the Prosigna assay for adjuvant treatment decision-making in estrogen-receptor-positive, HER2-negative early-stage breast cancer.","The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
25,MED:26297356,26297356,PMC4546262,10.1186/s12920-015-0129-6,direct,include,high,,true,Development and verification of the PAM50-based Prosigna breast cancer gene signature assay.,"The title directly joins the locked classifier domain to a reliability, assay, preprocessing, uncertainty, or transport method.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
26,MED:24443618,24443618,,10.1158/1078-0432.ccr-13-0239,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Research-based PAM50 subtype predictor identifies higher responses and improved survival outcomes in HER2-positive breast cancer in the NOAH study.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
27,MED:23423445,23423445,PMC3608881,10.1007/s10549-013-2416-2,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,PAM50 proliferation score as a predictor of weekly paclitaxel benefit in breast cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
28,MED:38549046,38549046,PMC11265146,10.1186/s12859-024-05759-w,direct,unclear,moderate,,true,Feature-specific quantile normalization and feature-specific mean-variance normalization deliver robust bi-directional classification and feature selection performance between microarray and RNAseq data.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
