rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
1,MED:32694712,32694712,PMC7374173,10.1038/s41598-020-69083-y,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,ColoType: a forty gene signature for consensus molecular subtyping of colorectal cancer tumors using whole-genome assay or targeted RNA-sequencing.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
2,MED:27459899,27459899,,10.1158/1078-0432.ccr-16-0680,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Practical and Robust Identification of Molecular Subtypes in Colorectal Cancer by Immunohistochemistry.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
3,MED:33194318,33194318,PMC7644247,10.1080/2162402x.2020.1832324,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Usefulness and robustness of Immunoscore for personalized management of cancer patients.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
4,MED:33041226,33041226,,10.1016/j.clcc.2020.09.003,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Association of Consensus Molecular Subtypes and Molecular Markers With Clinical Outcomes in Patients With Metastatic Colorectal Cancer: Biomarker Analyses From LUME-Colon 1.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
5,MED:34510716,34510716,PMC8637568,10.1002/1878-0261.13098,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A panel of DNA methylation markers for the classification of consensus molecular subtypes 2 and 3 in patients with colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
6,MED:31123421,31123421,PMC6511254,10.2147/cmar.s196662,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A novel LARCassigner3 classification predicts outcomes in patients with locally advanced rectal cancer treated with neoadjuvant chemoradiotherapy: a retrospective training and validation analysis.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
7,MED:31433515,31433515,PMC7003895,10.1111/his.13975,context,unclear,low,,false,The 2019 WHO classification of tumours of the digestive system.,No abstract is available; founder title-level adjudication is required.,classifier_method,false
8,MED:28692036,28692036,PMC5541704,10.1038/oncsis.2017.48,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Neoadjuvant chemotherapy affects molecular classification of colorectal tumors.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
9,MED:24122236,24122236,PMC4255306,10.1002/path.4287,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Towards the introduction of the 'Immunoscore' in the classification of malignant tumours.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
10,MED:24341444,24341444,PMC3878549,10.1186/1472-6890-13-33,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Efficient and reproducible identification of mismatch repair deficient colon cancer: validation of the MMR index and comparison with other predictive models.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record,false
11,MED:41607760,41607760,PMC12836155,10.4251/wjgo.v18.i1.114502,context,unclear,moderate,,true,Molecular mosaic of colorectal cancer: Why one classification system is no longer enough?,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_record|strong_method_in_record|classifier_method,false
12,MED:39720854,39720854,PMC12077266,10.1002/1878-0261.13781,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,NanoCMSer: a consensus molecular subtype stratification tool for fresh-frozen and paraffin-embedded colorectal cancer samples.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
13,MED:37345083,37345083,PMC10216373,10.3390/cancers15102746,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Principles of Molecular Utility for CMS Classification in Colorectal Cancer Management.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
14,MED:34741675,34741675,,10.1007/s11864-021-00913-5,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,The Evolving Role of Consensus Molecular Subtypes: a Step Beyond Inpatient Selection for Treatment of Colorectal Cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
15,MED:33005848,33005848,PMC7511559,10.1002/ags3.12362,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Investigation of colorectal cancer in accordance with consensus molecular subtype classification.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
16,PPR:PPR80022,,,10.1101/645143,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Image-based consensus molecular subtype classification (imCMS) of colorectal cancer using deep learning,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
