rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
19,MED:36293565,36293565,PMC9604175,10.3390/ijms232012707,context,include,high,,true,Correlation of Immunological and Histopathological Features with Gene Expression-Based Classifiers in Colon Cancer Patients.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
27,MED:10870076,10870076,,10.1002/1097-0142(20000615)88:12<2887::aid-cncr32>3.0.co;2-f,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,World Health Organization classification of tumors.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|second_stage_not_direct,false
96,MED:39279947,39279947,PMC11399859,10.21037/jgo-24-322,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Insights and recommendations for enhancing the prognostic nomogram in elderly patients with stage II-III colorectal cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",outcome_or_treatment_in_title|second_stage_not_direct,false
111,MED:35489435,35489435,,10.1053/j.gastro.2022.04.025,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Clinical Applications of Artificial Intelligence in Gastroenterology: Excitement and Evidence.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
147,MED:17878921,17878921,,10.1038/sj.leu.2404900,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Macrophages and tumor angiogenesis.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
158,MED:42153829,42153829,,10.1148/radiol.261015,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Beyond Cellularity: MRI Radiomics and the CMS4 Mesenchymal Phenotype in Colorectal Cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
176,MED:41303568,41303568,PMC12652317,10.3390/ijms262211086,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,From CMS to iCMS/IMF: Developing Roadmap to Precision Therapy in Colorectal Cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
210,MED:37292469,,,,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,The evolution of next-generation sequencing technologies.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
263,MED:34686475,34686475,,10.1016/s2589-7500(21)00232-6,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Towards computationally efficient prediction of molecular signatures from routine histology images.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
270,MED:30270453,30270453,,10.1111/his.13760,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Artificial intelligence-the third revolution in pathology.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
