rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
2,MED:41275314,41275314,PMC12764145,10.1186/s12967-025-07363-9,supporting,include,high,,true,A robust classifier for the intrinsic consensus molecular subtypes in colorectal cancer.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|second_stage_direct_method,false
41,MED:28398314,28398314,PMC5546205,10.1038/nbt.3772,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,"Toil enables reproducible, open source, big biomedical data analyses.","Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",strong_method_in_title|strong_method_in_record|second_stage_not_direct,false
49,MED:40659317,40659317,PMC13129803,10.3350/cmh.2025.0760,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,"Correspondence to letter to the editor on ""Molecular classification of hepatocellular carcinoma based on zoned metabolic feature and oncogenic signaling pathway"".","Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|second_stage_not_direct,false
52,MED:41763905,41763905,,10.1016/j.euo.2026.02.020,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A Long Noncoding RNA-based Classifier for Identifying More Aggressive Low-grade Ta Bladder Cancer with Elevated FGFR3 Activity.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
72,MED:36864702,36864702,PMC9982075,10.1002/ctm2.1145,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Epigenetically regulated gene expression profiles recognized three molecular classifications with prognostic and therapeutic implications in bladder cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
81,MED:35034800,35034800,,10.1016/j.eururo.2021.12.033,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,"Re: Gottfrid Sjödahl, Johan Abrahamsson, Karin Holmsten, et al. Different Responses to Neoadjuvant Chemotherapy in Urothelial Carcinoma Molecular Subtypes. Eur Urol. 2022;81:316-7.: Neoadjuvant Chemotherapy Response in Muscle-invasive Bladder Cancer: Differences in Intrinsic Biology or Subtyping Nomenclature?","Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
95,MED:32690604,32690604,PMC7873419,10.1136/gutjnl-2019-319866,context,include,high,,true,Image-based consensus molecular subtype (imCMS) classification of colorectal cancer using deep learning.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
100,MED:31868904,31868904,,10.1093/annonc/mdz412,context,exclude,high,review_editorial_or_commentary_for_citation_chaining_only,false,Predictive modeling in colorectal cancer: time to move beyond consensus molecular subtypes.,"Second-stage review identifies secondary, guideline, commentary, or perspective literature retained only for citation chaining.",classifier_method|second_stage_not_direct,false
115,PPR:PPR43619,,,,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,Differential analyses for RNA-seq: transcript-level estimates improve gene-level inferences,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
126,MED:19103868,19103868,,10.1136/jcp.2008.060723,context,exclude,low,no_relevant_discordance_stability_or_classifier_method,false,The oestrogen receptor-negative/progesterone receptor-positive breast tumour: a biological entity or a technical artefact?,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",second_stage_not_direct,false
