rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
1,MED:41546915,41546915,,10.1016/j.ctrv.2025.103062,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Harnessing epigenetics: Genome-wide DNA methylation assay for colorectal cancer therapy.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
2,MED:35194192,35194192,PMC9174226,10.1038/s41416-022-01742-5,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Peritoneal metastases from colorectal cancer belong to Consensus Molecular Subtype 4 and are sensitised to oxaliplatin by inhibiting reducing capacity.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
3,MED:29341165,29341165,,10.1002/bjs.10788,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Histopathological and molecular classification of colorectal cancer and corresponding peritoneal metastases.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
4,MED:41034989,41034989,PMC12486794,10.1186/s12964-025-02395-6,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,The aggressive colorectal cancer subtype marker HTR2B has a dual role depending on the tumor microenvironment.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
5,MED:35792866,35792866,PMC9475248,10.1158/1078-0432.ccr-22-1102,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Biological Misinterpretation of Transcriptional Signatures in Tumor Samples Can Unknowingly Undermine Mechanistic Understanding and Faithful Alignment with Preclinical Data.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
6,MED:35842424,35842424,PMC9288482,10.1038/s41419-022-05078-z,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,KIT promotes tumor stroma formation and counteracts tumor-suppressive TGFβ signaling in colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
7,MED:30206410,30206410,,10.1038/s41379-018-0124-5,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Low miR200c expression in tumor budding of invasive front predicts worse survival in patients with localized colon cancer and is related to PD-L1 overexpression.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|outcome_or_treatment_in_title,false
8,MED:25623536,25623536,,10.1016/j.bbrc.2015.01.064,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Inter- and intra-tumor profiling of multi-regional colon cancer and metastasis.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",,false
9,MED:25962936,25962936,,10.1053/j.gastro.2015.05.003,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Maintenance of Clonogenic KIT(+) Human Colon Tumor Cells Requires Secretion of Stem Cell Factor by Differentiated Tumor Cells.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
10,MED:25965164,25965164,PMC4647245,10.1038/bjc.2015.146,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Non-genetic cancer cell plasticity and therapy-induced stemness in tumour relapse: 'What does not kill me strengthens me'.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
11,MED:25979570,25979570,PMC4643413,10.1016/j.eururo.2015.04.028,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A Four-kallikrein Panel Predicts High-grade Cancer on Biopsy: Independent Validation in a Community Cohort.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",,false
12,MED:23295318,23295318,,10.1097/sla.0b013e31827c1180,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Independent validation of a prognostic genomic signature (ColoPrint) for patients with stage II colon cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
13,MED:23441134,23441134,PMC3579322,10.1593/neo.121726,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,PDGFRB promotes liver metastasis formation of mesenchymal-like colorectal tumor cells.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
14,MED:22821812,22821812,,10.1002/ijc.27735,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Stroma-directed imatinib therapy impairs the tumor-promoting effect of bone marrow-derived mesenchymal stem cells in an orthotopic transplantation model of colon cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",outcome_or_treatment_in_title,false
15,MED:18235122,18235122,,10.1200/jco.2007.13.4452,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Phase III randomized, intergroup trial assessing imatinib mesylate at two dose levels in patients with unresectable or metastatic gastrointestinal stromal tumors expressing the kit receptor tyrosine kinase: S0033.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record,false
16,MED:12866380,12866380,,10.1309/lq9e-mk8q-ke75-nggx,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Expression of platelet-derived growth factor-alpha alpha receptor is associated with tumor progression in clear cell renal cell carcinoma.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",,false
17,MED:38336371,38336371,PMC10860060,10.1136/jitc-2023-008210,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Multiomic molecular characterization of the response to combination immunotherapy in MSS/pMMR metastatic colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
18,MED:32766252,32766252,PMC7380132,10.3389/fcell.2020.00647,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Are Epithelial Ovarian Cancers of the Mesenchymal Subtype Actually Intraperitoneal Metastases to the Ovary?,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
19,MED:33177246,33177246,PMC7695389,10.18632/aging.104038,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,High SEMA4C expression promotes the epithelial-mesenchymal transition and predicts poor prognosis in colorectal carcinoma.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
20,MED:29760449,29760449,PMC5951826,10.1038/s41598-018-24982-z,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Aurora kinase A (AURKA) interaction with Wnt and Ras-MAPK signalling pathways in colorectal cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",,false
21,MED:28424071,28424071,PMC5395860,10.1186/s12885-017-3264-y,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Imatinib treatment of poor prognosis mesenchymal-type primary colon cancer: a proof-of-concept study in the preoperative window period (ImPACCT).,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method|outcome_or_treatment_in_title,false
22,MED:29156796,29156796,PMC5689686,10.18632/oncotarget.21145,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Downregulation of DNA repair proteins and increased DNA damage in hypoxic colon cancer cells is a therapeutically exploitable vulnerability.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
23,MED:25560714,25560714,,10.7326/m14-0697,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Transparent Reporting of a multivariable prediction model for Individual Prognosis or Diagnosis (TRIPOD): the TRIPOD statement.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",outcome_or_treatment_in_title,false
24,MED:25979483,25979483,,10.1158/1078-0432.ccr-14-2413,context,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Subclonal Genomic Architectures of Primary and Metastatic Colorectal Cancer Based on Intratumoral Genetic Heterogeneity.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",,false
