rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
1,MED:22418568,22418568,PMC3336833,10.1634/theoncologist.2012-0007,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Agreement in risk prediction between the 21-gene recurrence score assay (Oncotype DX®) and the PAM50 breast cancer intrinsic Classifier™ in early-stage estrogen receptor-positive breast cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
3,MED:22752290,22752290,PMC3413822,10.1007/s10549-012-2143-0,direct,include,high,,true,PAM50 assay and the three-gene model for identifying the major and clinically relevant molecular subtypes of breast cancer.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
6,MED:40714511,40714511,PMC12314373,10.1016/j.esmoop.2025.105521,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Impact of the Prosigna assay on neoadjuvant treatment decision-making in patients with early-stage HR-positive/HER2-negative breast cancer: a single-center prospective observational study.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
7,MED:41584881,41584881,,10.1159/000549807,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Comparison of Prosigna® Assay and Urokinase Plasminogen Activator/Plasminogen Activator Inhibitor-1 Results in Early-Stage Breast Cancer Patients.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
8,MED:39177880,39177880,PMC11511699,10.1007/s10147-024-02604-1,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Predicting invasive disease-free survival in ER-positive, HER2-negative early breast cancer using the PAM50 risk-of-recurrence score: a retrospective analysis using single-center long-term follow-up data of postmenopausal Japanese patients.","Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
9,PPR:PPR806024,,,10.21203/rs.3.rs-3878376/v1,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Predicting invasive disease-free survival in ER-positive, HER2-negative early breast cancer using the PAM50 risk-of-recurrence score: a retrospective analysis using single-center long-term follow-up data of Japanese patients with breast cancer","Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_title|domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title|second_stage_not_direct,false
11,MED:37761848,37761848,PMC10530528,10.3390/genes14091708,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,The Prediction Analysis of Microarray 50 (PAM50) Gene Expression Classifier Utilized in Indeterminate-Risk Breast Cancer Patients in Hungary: A Consecutive 5-Year Experience.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
19,MED:37773555,37773555,PMC10771357,10.1007/s10549-023-07094-9,direct,include,high,,true,Correlation between breast cancer subtypes determined by immunohistochemistry and n-COUNTER PAM50 assay: a real-world study.,"Second-stage review identifies a direct classifier, assay, platform, specimen, normalization, or implementation-comparison contribution relevant to the locked reliability question.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|second_stage_direct_method,false
20,MED:39274541,39274541,PMC11396381,10.3390/jcm13175328,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Prosigna Assay for Treatment Decisions in Early Breast Cancer: A Decision Impact Study.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
22,MED:37481795,37481795,PMC10392598,10.1016/j.breast.2023.07.009,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Analysis of the association of HER-2 low carcinomas and PAM50 assay in hormone receptor positive early-stage breast cancer.,"Second-stage review finds outcome, treatment, biomarker, taxonomy, or general molecular content without a direct contribution to the locked classifier reliability, uncertainty, preprocessing, or transport question.",domain_in_title|domain_in_record|strong_method_in_record|classifier_method|second_stage_not_direct,false
