rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
1,MED:38429657,38429657,PMC10908178,10.1186/s12859-024-05715-8,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Few-shot genes selection: subset of PAM50 genes for breast cancer subtypes classification.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
2,MED:27130931,27130931,,10.1093/jnci/djw118,direct,unclear,low,,false,Risk Stratification and Intrinsic Subtype Classification of Breast Cancer: a Multi-Parameter Test to Rule Them All?,No abstract is available; founder title-level adjudication is required.,domain_in_title|domain_in_record|classifier_method,false
3,MED:25301847,25301847,,10.1158/1078-0432.ccr-14-0357,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Reproducible, Quantitative, and Flexible Molecular Subtyping of Clinical DLBCL Samples Using the NanoString nCounter System.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
4,MED:18755024,18755024,PMC2575547,10.1186/bcr2138,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A robust classifier of high predictive value to identify good prognosis patients in ER-negative breast cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
5,MED:41608407,41608407,PMC12834934,10.1016/j.csbj.2025.12.027,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"SubNExT: Towards accurate, efficient and robust gene expression classification for breast cancer subtyping.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
6,MED:39209597,39209597,,10.1016/j.clbc.2024.08.003,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,Evaluating the Prognostic Role of the PAM50 Signature and Selected Immune-Related Signatures for Recurrence in Patients With T1abN0 Breast Cancer.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
7,MED:37759760,37759760,PMC10526748,10.3390/biom13091361,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,The Expression of Trace Amine-Associated Receptors (TAARs) in Breast Cancer Is Coincident with the Expression of Neuroactive Ligand-Receptor Systems and Depends on Tumor Intrinsic Subtype.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",domain_in_title|domain_in_record|classifier_method,false
8,MED:33608712,33608712,,10.1093/bjs/znaa089,direct,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,PAM-50 predicts local recurrence after breast cancer surgery in postmenopausal patients with ER+/HER2- disease: results from 1204 patients in the randomized ABCSG-8 trial.,"The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|outcome_or_treatment_in_title,false
9,MED:34374711,34374711,,10.1093/clinchem/hvab068,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Intra- and Interlaboratory Reproducibility of the Sensitivity to Endocrine Therapy Assay for Stage II/III Breast Cancer.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
10,MED:32832541,32832541,PMC7428878,10.1155/2020/1363827,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Microarray Normalization Revisited for Reproducible Breast Cancer Biomarkers.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
