rank,record_key,pmid,pmcid,doi,priority_tier,recommendation,confidence,exclusion_reason,abstract_available,title,rationale,matched_signals,founder_decision_recorded
1,MED:32383007,32383007,PMC7508960,10.1007/s00428-020-02818-4,direct,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Factors influencing agreement of breast cancer luminal molecular subtype by Ki67 labeling index between core needle biopsy and surgical resection specimens.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method,false
2,MED:41275314,41275314,PMC12764145,10.1186/s12967-025-07363-9,supporting,unclear,moderate,,true,A robust classifier for the intrinsic consensus molecular subtypes in colorectal cancer.,"The abstract contains relevant classifier and reliability signals, but direct eligibility is not unambiguous from deterministic rules.",domain_in_record|strong_method_in_title|strong_method_in_record|classifier_method,false
3,MED:28738880,28738880,PMC5525253,10.1186/s13000-017-0639-y,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Level of mitoses in non-muscle invasive papillary urothelial carcinomas (pTa and pT1) at initial bladder biopsy is a simple and powerful predictor of clinical outcome: a multi-center study in South Korea.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
4,MED:37927478,37927478,PMC10623135,10.3389/fonc.2023.1288698,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,A molecular classification system for estimating radiotherapy response and anticancer immunity for individual breast cancer patients.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
5,MED:26424167,26424167,PMC4621695,10.1007/s10549-015-3587-9,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Molecular subtyping improves diagnostic stratification of patients with primary breast cancer into prognostically defined risk groups.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
6,MED:24461457,24461457,,10.1016/j.clbc.2013.11.006,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"72-gene classifier for predicting prognosis of estrogen receptor-positive and node-negative breast cancer patients using formalin-fixed, paraffin-embedded tumor tissues.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method|outcome_or_treatment_in_title,false
7,MED:24045544,24045544,,10.1309/ajcp1rf9fuizrdpi,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Interobserver concordance in implementing the 2010 ASCO/CAP recommendations for reporting ER in breast carcinomas: a demonstration of the difficulties of consistently reporting low levels of ER expression by manual quantification.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_title|strong_method_in_record,false
8,MED:21684283,21684283,PMC3152688,10.1053/j.gastro.2011.04.042,supporting,exclude,high,no_relevant_discordance_stability_or_classifier_method,true,"Intrinsic subtypes of gastric cancer, based on gene expression pattern, predict survival and respond differently to chemotherapy.","The record uses a relevant subtype or assay for prognosis, treatment, or outcome association without a qualifying reliability-method focus.",domain_in_title|domain_in_record|classifier_method|outcome_or_treatment_in_title,false
9,MED:27542606,27542606,PMC4992321,10.1186/s12920-016-0215-4,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,"Reliable gene expression profiling of formalin-fixed paraffin-embedded breast cancer tissue (FFPE) using cDNA-mediated annealing, extension, selection, and ligation whole-genome (DASL WG) assay.","The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",strong_method_in_record|classifier_method,false
10,MED:26622743,26622743,PMC4533668,10.3892/ol.2015.3461,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Associations and indications of Ki67 expression with clinicopathological parameters and molecular subtypes in invasive breast cancer: A population-based study.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
11,MED:23251101,23251101,PMC3515909,10.1100/2012/380495,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Gene expression profiles for predicting metastasis in breast cancer: a cross-study comparison of classification methods.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
12,MED:18794199,18794199,,10.1136/jcp.2008.059899,supporting,exclude,moderate,no_relevant_discordance_stability_or_classifier_method,true,Oestrogen-receptor-positive breast cancer: towards bridging histopathological and molecular classifications.,"The title and abstract do not jointly establish a qualifying single-sample classifier reliability, uncertainty, preprocessing, or transport method.",classifier_method,false
